task_id	sample_no	task	true_result	model_result	accuracy	in_accuracy
1	1	"John travelled to the hallway.
Mary journeyed to the bathroom.
16	1	"Lily is a swan.
Bernhard is a lion.
Greg is a swan.
Bernhard is white.
Brian is a lion.
Lily is gray.
Julius is a rhino.
Julius is gray.
Greg is gray.
What color is Brian?"	white	according to the context sentences, bernhard is a lion and	0.0	0.0
16	2	"Lily is a rhino.
Brian is a swan.
Bernhard is a swan.
Lily is gray.
Brian is white.
Bernhard is white.
Julius is a frog.
Julius is white.
Greg is a frog.
What color is Greg?"	white	according to the context sentences, greg is a frog, and
16	3	"Bernhard is a rhino.
Brian is a rhino.
Bernhard is white.
Brian is white.
Lily is a lion.
Lily is yellow.
Greg is a rhino.
Greg is green.
Julius is a rhino.
What color is Julius?"	green	based on the context sentences, julius is a rhino,
16	4	"Greg is a frog.
Bernhard is a swan.
Julius is a frog.
Bernhard is white.
Julius is green.
Lily is a frog.
Brian is a frog.
Lily is gray.
Brian is gray.
What color is Greg?"	gray	we don't have any information about greg's color in the
16	5	"Julius is a swan.
Julius is gray.
Bernhard is a swan.
Bernhard is yellow.
Brian is a lion.
Greg is a lion.
Brian is white.
Lily is a frog.
Lily is gray.
What color is Greg?"	white	according to the context sentences, brian is a lion and brian
17	1	"The pink rectangle is to the left of the triangle.
The triangle is to the left of the red square.
Is the pink rectangle to the right of the red square?"	no	based on the context sentences, we can deduce the following	0.0	0.1
17	1	"
Is the pink rectangle to the left of the red square?"	yes	"according to the context sentences:

""the pink rectangle is to the"
17	1	"
Is the pink rectangle to the left of the red square?"	yes	"according to the context sentences:

""the pink rectangle is to the"
17	1	"
Is the pink rectangle to the left of the red square?"	yes	"according to the context sentences:

""the pink rectangle is to the"
17	1	"
Is the pink rectangle to the right of the red square?"	no	"according to the context sentences:

""the pink rectangle is to the"
17	1	"
Is the red square to the right of the pink rectangle?"	yes	"according to the context sentences:

""the triangle is to the left"
17	1	"
Is the pink rectangle to the left of the red square?"	yes	"according to the context sentences:

""the pink rectangle is to the"
17	1	"
Is the pink rectangle to the left of the red square?"	yes	"according to the context sentences:

""the pink rectangle is to the"
17	2	"The red square is below the blue square.
The red square is to the left of the pink rectangle.
Is the blue square below the pink rectangle?"	no	based on the context sentences, we can infer that the blue
17	2	"
Is the pink rectangle to the left of the blue square?"	no	according to the context sentences, the red square is to the
17	2	"
Is the blue square to the left of the pink rectangle?"	yes	according to the context sentences, the red square is to the
17	2	"
Is the pink rectangle to the left of the blue square?"	no	according to the context sentences, the red square is to the
17	2	"
Is the pink rectangle above the blue square?"	no	we can't determine the position of the pink rectangle relative to
17	2	"
Is the pink rectangle to the left of the blue square?"	no	according to the context sentences, the red square is to the
17	2	"
Is the pink rectangle above the blue square?"	no	we can't determine the position of the pink rectangle relative to
17	2	"
Is the blue square above the pink rectangle?"	yes	according to the context sentences, we know that the red square
17	3	"The pink rectangle is to the left of the triangle.
The triangle is below the red sphere.
Is the red sphere above the pink rectangle?"	yes	according to the context sentences, we know that the triangle is
17	3	"
Is the pink rectangle below the red sphere?"	yes	according to the context sentences, we know that the triangle is
17	3	"
Is the red sphere below the pink rectangle?"	no	according to the context sentences, we know that the triangle is
17	3	"
Is the pink rectangle below the red sphere?"	yes	according to the context sentences, we know that the triangle is
17	3	"
Is the pink rectangle above the red sphere?"	no	according to the context sentences, we know that the triangle is
17	3	"
Is the red sphere to the left of the pink rectangle?"	no	according to the context sentences, we know that the pink rectangle
17	3	"
Is the red sphere below the pink rectangle?"	no	according to the context sentences, we know that the triangle is
17	3	"
Is the pink rectangle below the red sphere?"	yes	according to the context sentences, we know that the triangle is
17	4	"The triangle is above the blue square.
The triangle is below the red square.
Is the blue square below the red square?"	yes	based on the context sentences, we can infer that the blue
17	4	"
Is the blue square below the red square?"	yes	according to the context sentences, the triangle is above the blue
17	4	"
Is the red square above the blue square?"	yes	according to the context sentences, the triangle is below the red
17	4	"
Is the blue square to the right of the red square?"	no	we can't determine the position of the blue square relative to
17	4	"
Is the blue square to the left of the red square?"	no	we can't determine the position of the blue square relative to
17	4	"
Is the red square below the blue square?"	no	according to the context sentences, the triangle is below the red
17	4	"
Is the blue square to the right of the red square?"	no	according to the context sentences, the triangle is above the blue
17	4	"
Is the red square below the blue square?"	no	according to the context sentences, the triangle is below the red
17	5	"The red square is below the triangle.
The pink rectangle is to the left of the red square.
Is the triangle above the pink rectangle?"	yes	based on the context sentences, we can infer that the triangle
17	5	"
Is the pink rectangle below the triangle?"	yes	according to the context sentences, the red square is below the
17	5	"
Is the triangle to the right of the pink rectangle?"	yes	according to the context sentences, the pink rectangle is to the
17	5	"
Is the triangle below the pink rectangle?"	no	according to the context sentences, the red square is below the
17	5	"
Is the pink rectangle above the triangle?"	no	according to the context sentences, the red square is below the
17	5	"
Is the pink rectangle below the triangle?"	yes	according to the context sentences, the red square is below the
17	5	"
Is the pink rectangle to the right of the triangle?"	no	according to the context sentences, the pink rectangle is to the
17	5	"
Is the pink rectangle below the triangle?"	yes	according to the context sentences, the red square is below the
18	1	"The suitcase fits inside the box.
The chocolate fits inside the box.
The container is bigger than the box of chocolates.
The container is bigger than the suitcase.
The box is bigger than the box of chocolates.
The container is bigger than the chocolate.
The chocolate fits inside the container.
The chocolate fits inside the suitcase.
The chocolate fits inside the chest.
The suitcase fits inside the container.
Does the box fit in the chocolate?"	no	based on the context sentences, we can conclude that the box	0.0	0.6
18	1	"
Is the chocolate bigger than the box?"	no	according to the context sentences, the chocolate fits inside the box
18	1	"
Does the box fit in the chocolate?"	no	no, the context sentences indicate that the chocolate fits inside the
18	1	"
Does the box fit in the chocolate?"	no	no, according to the context sentences, the chocolate fits inside
18	1	"
Is the chocolate bigger than the box?"	no	no, according to the context sentences, the chocolate fits inside
18	2	"The box fits inside the chest.
The chocolate fits inside the box.
The container is bigger than the chocolate.
The box of chocolates fits inside the chest.
The suitcase is bigger than the container.
Is the chocolate bigger than the chest?"	no	no, the chocolate is not bigger than the chest.
18	2	"
Is the chocolate bigger than the chest?"	no	no, the chocolate is not bigger than the chest.
18	2	"
Does the chest fit in the chocolate?"	no	no, the chest does not fit in the chocolate.
18	2	"
Is the chest bigger than the chocolate?"	yes	yes, the chest is bigger than the chocolate.
18	2	"
Does the suitcase fit in the chocolate?"	no	no, the suitcase does not fit in the chocolate.
18	3	"The box is bigger than the suitcase.
The suitcase fits inside the container.
The box of chocolates fits inside the container.
The container fits inside the chest.
The chocolate fits inside the suitcase.
Is the chest bigger than the suitcase?"	yes	"based on the context sentences, we can infer the following:

"
18	3	"
Does the suitcase fit in the chest?"	yes	according to the context sentences, the container fits inside the chest
18	3	"
Is the chest bigger than the suitcase?"	yes	yes, the chest is bigger than the suitcase, as the
18	3	"
Does the suitcase fit in the chest?"	yes	according to the context sentences, the container fits inside the chest
18	3	"
Is the chocolate bigger than the box?"	no	no, the box is bigger than the chocolate.
18	4	"The suitcase is bigger than the box of chocolates.
The container fits inside the suitcase.
The suitcase is bigger than the chocolate.
The suitcase is bigger than the box.
The box is bigger than the box of chocolates.
Is the suitcase bigger than the box of chocolates?"	yes	according to the context sentences, the answer is: yes,
18	4	"
Does the box of chocolates fit in the suitcase?"	yes	according to the context sentences, the answer is: yes,
18	4	"
Does the suitcase fit in the box of chocolates?"	no	according to the context sentences, the answer is: no,
18	4	"
Does the suitcase fit in the box of chocolates?"	no	according to the context sentences, the answer is: no,
18	4	"
Is the suitcase bigger than the box of chocolates?"	yes	according to the context sentences, the answer is: yes,
18	5	"The container is bigger than the suitcase.
The chest fits inside the box.
The chest is bigger than the box of chocolates.
The box is bigger than the chocolate.
The container is bigger than the suitcase.
Is the box bigger than the box of chocolates?"	yes	"according to the context sentences, we can infer that:

*"
18	5	"
Does the box of chocolates fit in the box?"	yes	according to the context sentences, we can infer that the chest
18	5	"
Does the box of chocolates fit in the box?"	yes	according to the context sentences, we can infer that the box
18	5	"
Does the box fit in the box of chocolates?"	no	according to the context sentences, we can infer that the box
18	5	"
Is the box bigger than the box of chocolates?"	yes	according to the context sentences, we can infer that the box
19	1	"The garden is west of the bathroom.
The bedroom is north of the hallway.
The office is south of the hallway.
The bathroom is north of the bedroom.
The kitchen is east of the bedroom.
How do you go from the bathroom to the hallway?"	s,s	according to the context sentences, the bathroom is north of the	0.0	0.0
19	2	"The hallway is west of the bathroom.
The office is south of the bedroom.
The garden is north of the bedroom.
The kitchen is east of the bedroom.
The hallway is east of the kitchen.
How do you go from the bedroom to the hallway?"	e,e	according to the context sentences, you can go from the bedroom
19	3	"The garden is west of the hallway.
The kitchen is west of the garden.
The garden is north of the bathroom.
The bedroom is east of the bathroom.
The hallway is west of the office.
How do you go from the bathroom to the hallway?"	n,e	according to the context sentences, the bathroom is north of the
19	4	"The hallway is south of the bathroom.
The kitchen is west of the garden.
The kitchen is south of the bedroom.
The office is north of the bedroom.
The bedroom is east of the bathroom.
How do you go from the kitchen to the bathroom?"	n,w	according to the given information, the kitchen is south of the
19	5	"The bedroom is east of the bathroom.
The hallway is east of the bedroom.
The kitchen is west of the garden.
The office is south of the bedroom.
The office is north of the kitchen.
How do you go from the bedroom to the kitchen?"	s,s	according to the given information, the bedroom is east of the
20	1	"Jason is thirsty.
Where will jason go?"	kitchen	based on the context sentence, it seems likely that jason will	0.0	0.26
20	1	"
Antoine is bored.
Where will antoine go?"	garden	based on the context sentence, it seems likely that antoine will
20	1	"
Jason went to the kitchen.
Why did jason go to the kitchen?"	thirsty	based on the context, it's likely that jason went to
20	1	"
Antoine journeyed to the garden.
Why did antoine go to the garden?"	bored	based on the context, it's not explicitly stated why antoine
20	1	"
Sumit is hungry.
Where will sumit go?"	kitchen	based on the context, it seems likely that sumit will
20	1	"
Antoine grabbed the football there.
Why did antoine get the football?"	bored	based on the context, it's not explicitly stated why antoine
20	1	"
Sumit went to the kitchen.
Why did sumit go to the kitchen?"	hungry	based on the context, it's likely that sumit went
20	1	"
Jason took the milk there.
Why did jason get the milk?"	thirsty	based on the context, it's likely that jason got the
20	1	"
Sumit took the apple there.
Why did sumit get the apple?"	hungry	based on the context, it's not explicitly stated why sum
20	1	"
Yann is thirsty.
Where will yann go?"	kitchen	based on the context, it seems likely that yann will
20	1	"
Yann travelled to the kitchen.
Why did yann go to the kitchen?"	thirsty	based on the context, it's likely that yann went
20	2	"Yann is thirsty.
Where will yann go?"	kitchen	"based on the context sentence ""yann is thirsty"", i"
20	2	"
Yann journeyed to the kitchen.
Why did yann go to the kitchen?"	thirsty	"based on the context sentence ""yann is thirsty"" and"
20	2	"
Yann took the milk there.
Why did yann get the milk?"	thirsty	"based on the context sentences ""yann is thirsty"" and"
20	2	"
Jason is hungry.
Where will jason go?"	kitchen	"based on the context sentence ""jason is hungry"", i would"
20	2	"
Antoine is bored.
Where will antoine go?"	garden	"based on the context sentence ""antoine is bored"", i"
20	2	"
Antoine went back to the garden.
Why did antoine go to the garden?"	bored	"based on the context sentence ""antoine is bored"", i"
20	2	"
Sumit is hungry.
Where will sumit go?"	kitchen	"based on the context sentence ""sumit is hungry"", i"
20	2	"
Jason travelled to the kitchen.
Why did jason go to the kitchen?"	hungry	"based on the context sentence ""jason is hungry"" (from"
20	2	"
Sumit went to the kitchen.
Why did sumit go to the kitchen?"	hungry	"based on the context sentence ""sumit is hungry"" ("
20	2	"
Jason grabbed the apple there.
Why did jason get the apple?"	hungry	"based on the context sentences ""jason is hungry"" and """
20	2	"
Antoine grabbed the football there.
Why did antoine get the football?"	bored	"based on the context sentence ""antoine is bored"" ("
20	3	"Antoine is thirsty.
Where will antoine go?"	kitchen	"based on the context sentence ""antoine is thirsty"", i"
20	3	"
Sumit is hungry.
Where will sumit go?"	kitchen	"based on the context sentence ""sumit is hungry"", i"
20	3	"
Jason is bored.
Where will jason go?"	garden	"based on the context sentence ""jason is bored"", i would"
20	3	"
Yann is tired.
Where will yann go?"	bedroom	"based on the context sentence ""yann is tired"", i"
20	3	"
Yann travelled to the bedroom.
Why did yann go to the bedroom?"	tired	based on the context, i would infer that yann went
20	3	"
Jason went to the garden.
Why did jason go to the garden?"	bored	based on the context, i would infer that jason went to
20	3	"
Antoine travelled to the kitchen.
Why did antoine go to the kitchen?"	thirsty	based on the context, i would infer that antoine went to
20	3	"
Antoine took the milk there.
Why did antoine get the milk?"	thirsty	based on the context, i would infer that antoine got the
20	3	"
Sumit moved to the kitchen.
Why did sumit go to the kitchen?"	hungry	based on the context, i would infer that sumit went
20	3	"
Sumit grabbed the apple there.
Why did sumit get the apple?"	hungry	based on the context, i would infer that sumit got
20	3	"
Yann got the pajamas there.
Why did yann get the pajamas?"	tired	based on the context, i would infer that yann got
20	3	"
Jason grabbed the football there.
Why did jason get the football?"	bored	based on the context, i would infer that jason got
20	4	"Yann is thirsty.
Where will yann go?"	kitchen	"based on the context sentence ""yann is thirsty"", i"
20	4	"
Yann travelled to the kitchen.
Why did yann go to the kitchen?"	thirsty	"based on the context sentences ""yann is thirsty"" and"
20	4	"
Yann took the milk there.
Why did yann get the milk?"	thirsty	"based on the context sentences ""yann is thirsty"" and"
20	4	"
Sumit is bored.
Where will sumit go?"	garden	"based on the context sentence ""sumit is bored"", i"
20	4	"
Jason is hungry.
Where will jason go?"	kitchen	"based on the context sentence ""jason is hungry"", i"
20	4	"
Jason journeyed to the kitchen.
Why did jason go to the kitchen?"	hungry	"based on the context sentence ""jason is hungry"", i"
20	4	"
Sumit journeyed to the garden.
Why did sumit go to the garden?"	bored	"based on the context sentence ""sumit is bored"", i"
20	4	"
Sumit took the football there.
Why did sumit get the football?"	bored	"based on the context sentence ""sumit is bored"", i"
20	4	"
Jason took the apple there.
Why did jason get the apple?"	hungry	"based on the context sentence ""jason is hungry"", i"
20	4	"
Antoine is tired.
Where will antoine go?"	bedroom	"based on the context sentence ""antoine is tired"", i"
20	4	"
Antoine went back to the bedroom.
Why did antoine go to the bedroom?"	tired	"based on the context sentence ""antoine is tired"", i"
20	4	"
Antoine picked up the pajamas there.
Why did antoine get the pajamas?"	tired	"based on the context sentence ""antoine is tired"", i"
20	5	"Sumit is bored.
Where will sumit go?"	garden	"based on the context sentence ""sumit is bored"", it"
20	5	"
Antoine is hungry.
Where will antoine go?"	kitchen	"based on the context sentence ""antoine is hungry"", it"
20	5	"
Yann is bored.
Where will yann go?"	garden	"based on the context sentence ""yann is bored"", it"
20	5	"
Sumit journeyed to the garden.
Why did sumit go to the garden?"	bored	"based on the new context sentence ""sumit journeyed to"
20	5	"
Jason is hungry.
Where will jason go?"	kitchen	"based on the context sentence ""jason is hungry"", it"
20	5	"
Sumit picked up the football there.
Why did sumit get the football?"	bored	"based on the new context sentence ""sumit picked up the"
20	5	"
Antoine travelled to the kitchen.
Why did antoine go to the kitchen?"	hungry	"based on the context sentence ""antoine travelled to the kitchen"
20	5	"
Yann went to the garden.
Why did yann go to the garden?"	bored	"based on the context sentence ""yann went to the garden"
20	5	"
Jason went to the kitchen.
Why did jason go to the kitchen?"	hungry	"based on the context sentence ""jason went to the kitchen"","
20	5	"
Antoine took the apple there.
Why did antoine get the apple?"	hungry	"based on the new context sentence ""antoine took the apple"
					0.0	0.0
